gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_22460,4.345,1.2e-67,3.617,4.900000000000001e-133,1,4.345,3.617,1,1
ppiA,4.151,3e-63,3.982,9.800000000000001e-124,1,4.151,3.982,1,1
PA14_22470,3.929,1.7e-62,4.158,6.5e-119,1,3.929,4.158,1,1
bapA,3.773,4.400000000000001e-59,3.031,1.8e-103,1,3.773,3.031,1,1
PA14_27070,3.263,1.6e-46,4.044,2.4e-99,1,3.263,4.044,1,1
yhhW,2.964,3.4e-33,3.418,2.9999999999999997e-91,1,2.964,3.418,1,1
PA14_22420,2.388,1.4e-18,-1.867,3.5e-31,1,2.388,1.867,1,1
PA14_27390,1.633,1.8e-09,1.821,3.4e-23,1,1.633,1.821,1,1
PA14_03730,-1.27,2e-07,2.314,1.2e-21,1,1.27,2.314,1,1
PA14_05500,1.283,2.8e-06,1.637,5.2e-17,1,1.283,1.637,1,1
PA14_22280,1.861,5.6e-06,-1.62,2e-16,1,1.861,1.62,1,1
oprQ,-1.069,3.7e-05,-4.116,2.5e-13,1,1.069,4.116,1,1
nirS,-1.513,6.1e-05,1.283,3.6e-11,1,1.513,1.283,1,1
PA14_36470,-1.067,6.1e-05,-1.073,1.4e-10,1,1.067,1.073,1,1
PA14_15360,-1.172,0.0043,-1.079,1.6e-08,1,1.172,1.079,1,1
PA14_36530,-0.795,0.027,1.606,3e-08,0,0.795,1.606,1,1
PA14_05910,0.976,0.027,-1.512,3.2e-08,0,0.976,1.512,1,1
pchD,-0.784,0.035,-1.219,6.6e-08,0,0.784,1.219,1,1
PA14_36820,-1.359,0.057,0.739,2.3e-07,0,1.359,0.739,0,1
norC,-1.811,0.067,0.744,2.7e-07,0,1.811,0.744,0,1
PA14_09750,-0.813,0.074,-0.87,3e-07,0,0.813,0.87,0,1
PA14_05890,1.012,0.096,-1.009,3.4e-07,0,1.012,1.009,0,1
PA14_39990,-0.743,0.1,-1.427,3.6e-07,0,0.743,1.427,0,1
PA14_67410,0.915,0.1,-0.817,7.3e-07,0,0.915,0.817,0,1
acpD,1.04,0.11,-1.543,1.2e-06,0,1.04,1.543,0,1
pchF,-0.692,0.13,-1.206,1.2e-06,0,0.692,1.206,0,1
ccoN,-0.731,0.14,0.828,2.4e-06,0,0.731,0.828,0,1
PA14_40020,-0.754,0.17,-1.108,3.2e-06,0,0.754,1.108,0,1
pchI,-0.703,0.18,-0.714,3.3e-06,0,0.703,0.714,0,1
PA14_32250,-0.942,0.18,-1.069,4.1e-06,0,0.942,1.069,0,1
phnA,0.769,0.18,0.953,1e-05,0,0.769,0.953,0,1
PA14_00480,-0.636,0.19,0.773,1.1e-05,0,0.636,0.773,0,1
aptA,0.745,0.2,0.945,1.1e-05,0,0.745,0.945,0,1
PA14_58330,-1.179,0.19,-0.76,1.3e-05,0,1.179,0.76,0,1
pchE,-0.636,0.22,-0.751,2.1e-05,0,0.636,0.751,0,1
PA14_36520,-0.794,0.23,-0.729,2.3e-05,0,0.794,0.729,0,1
PA14_36500,-0.728,0.31,0.689,3.1e-05,0,0.728,0.689,0,1
pchC,-0.788,0.37,-0.882,3.8e-05,0,0.788,0.882,0,1
opdQ,-0.58,0.46,1.039,4.5e-05,0,0.58,1.039,0,1
muiA,-0.791,0.46,0.801,0.0001,0,0.791,0.801,0,1
pchB,-0.879,0.47,0.784,0.00012,0,0.879,0.784,0,1
dipZ2,-0.653,0.47,-0.677,0.00012,0,0.653,0.677,0,1
pchH,-0.599,0.51,-0.663,0.00013,0,0.599,0.663,0,1
prtN,-0.636,0.51,-0.585,0.00016,0,0.636,0.585,0,1
PA14_40240,0.675,0.51,0.787,0.00018,0,0.675,0.787,0,1
dctA,-0.601,0.51,0.999,0.0002,0,0.601,0.999,0,1
lasB,-0.558,0.54,-0.665,0.0002,0,0.558,0.665,0,1
yeiH,-0.873,0.54,-1.009,0.0002,0,0.873,1.009,0,1
acoR,0.568,0.55,0.688,0.00022,0,0.568,0.688,0,1
PA14_60490,-0.834,0.56,-0.59,0.00026,0,0.834,0.59,0,1
PA14_08660,-0.69,0.59,-0.659,0.00027,0,0.69,0.659,0,1
PA14_49860,0.716,0.59,0.713,0.00038,0,0.716,0.713,0,1
pqsE,0.669,0.62,-1.149,0.00038,0,0.669,1.149,0,1
pqsD,0.657,0.62,-0.912,0.00042,0,0.657,0.912,0,1
yjcH,-0.51,0.63,-0.911,0.00042,0,0.51,0.911,0,1
PA14_36480,-0.634,0.63,0.744,0.00055,0,0.634,0.744,0,1
PA14_36375,-0.581,0.66,-0.765,0.00055,0,0.581,0.765,0,1
popD,0.869,0.67,0.672,0.00055,0,0.869,0.672,0,1
pchR,-0.527,0.7,1.04,0.00068,0,0.527,1.04,0,1
PA14_07850,0.67,0.7,0.81,0.0007,0,0.67,0.81,0,1
PA14_36850,-0.574,0.7,-0.795,0.0008,0,0.574,0.795,0,1
PA14_52520,-0.564,0.7,-1.112,0.0008,0,0.564,1.112,0,1
pchA,-0.548,0.73,0.9,0.00097,0,0.548,0.9,0,1
oprM,0.586,0.73,0.569,0.00097,0,0.586,0.569,0,1
PA14_19960,0.713,0.74,0.599,0.00099,0,0.713,0.599,0,1
glgX,-0.574,0.79,-1.166,0.00097,0,0.574,1.166,0,1
PA14_62240,0.507,0.79,0.944,0.0011,0,0.507,0.944,0,1
PA14_08210,-0.517,0.82,-0.686,0.0011,0,0.517,0.686,0,1
glgB,-0.677,0.82,0.941,0.0012,0,0.677,0.941,0,1
PA14_44430,0.563,0.85,-1.273,0.0012,0,0.563,1.273,0,1
PA14_51010,-0.51,0.95,-0.541,0.0013,0,0.51,0.541,0,1
PA14_07980,-0.869,0.95,0.7,0.0014,0,0.869,0.7,0,1
PA14_22090,-0.537,0.95,1.072,0.0015,0,0.537,1.072,0,1
PA14_30750,-0.704,0.96,-0.669,0.0015,0,0.704,0.669,0,1
hxcW,0.562,0.95,-0.877,0.0016,0,0.562,0.877,0,1
PA14_72890,0.584,0.95,-0.994,0.0018,0,0.584,0.994,0,1
pfpI,-0.483,1.0,-1.439,0.0021,0,0.483,1.439,0,1
PA14_39800,-0.49,1.0,0.844,0.0023,0,0.49,0.844,0,1
PA14_55590,-1.12,1.0,0.515,0.0024,0,1.12,0.515,0,1
PA14_36490,-0.771,1.0,1.503,0.0024,0,0.771,1.503,0,1
pchG,-0.532,1.0,-0.858,0.0025,0,0.532,0.858,0,1
opmL,0.672,1.0,0.791,0.0025,0,0.672,0.791,0,1
PA14_51560,-0.861,1.0,-1.055,0.0026,0,0.861,1.055,0,1
PA14_61010,-0.466,1.0,-1.01,0.0032,0,0.466,1.01,0,1
PA14_01350,0.703,1.0,-0.522,0.0032,0,0.703,0.522,0,1
PA14_08220,-0.498,1.0,-0.608,0.0036,0,0.498,0.608,0,1
PA14_04340,0.596,1.0,1.843,0.0038,0,0.596,1.843,0,1
PA14_09690,0.958,1.0,1.055,0.0041,0,0.958,1.055,0,1
nosR,-2.151,1.0,0.536,0.0041,0,2.151,0.536,0,1
yaaU,-0.776,1.0,0.665,0.0041,0,0.776,0.665,0,1
PA14_28150,0.635,1.0,-0.589,0.0042,0,0.635,0.589,0,1
gcvT2,0.611,1.0,0.55,0.0046,0,0.611,0.55,0,1
fepC,-0.58,1.0,0.599,0.0047,0,0.58,0.599,0,1
PA14_19850,0.728,1.0,-1.042,0.0047,0,0.728,1.042,0,1
PA14_19900,0.512,1.0,-0.963,0.0056,0,0.512,0.963,0,1
kdpF,-1.852,1.0,0.8,0.0058,0,1.852,0.8,0,1
hprA,-0.604,1.0,-0.611,0.0059,0,0.604,0.611,0,1
vapI,-0.431,1.0,0.874,0.0068,0,0.431,0.874,0,1
PA14_03166,-0.478,1.0,-0.51,0.0072,0,0.478,0.51,0,1
PA14_09370,-0.504,1.0,0.951,0.0082,0,0.504,0.951,0,1
PA14_35270,0.659,1.0,-0.822,0.0082,0,0.659,0.822,0,1
PA14_54540,0.76,1.0,-0.499,0.0082,0,0.76,0.499,0,1
PA14_22140,-0.655,1.0,-1.249,0.0094,0,0.655,1.249,0,1
PA14_28360,-0.596,1.0,-0.802,0.01,0,0.596,0.802,0,1
PA14_29290,-0.668,1.0,0.603,0.01,0,0.668,0.603,0,1
katE,-0.494,1.0,-0.634,0.01,0,0.494,0.634,0,1
PA14_36880,-0.899,1.0,-0.707,0.011,0,0.899,0.707,0,1
PA14_03000,0.658,1.0,-2.282,0.011,0,0.658,2.282,0,1
PA14_20460,0.514,1.0,-1.178,0.011,0,0.514,1.178,0,1
PA14_22400,-0.744,1.0,-0.854,0.011,0,0.744,0.854,0,1
PA14_36700,-0.55,1.0,-0.575,0.011,0,0.55,0.575,0,1
PA14_40030,-0.53,1.0,-1.19,0.012,0,0.53,1.19,0,1
minD,-0.442,1.0,0.468,0.012,0,0.442,0.468,0,1
PA14_04270,-0.483,1.0,-0.502,0.012,0,0.483,0.502,0,1
glnA,-0.458,1.0,0.764,0.013,0,0.458,0.764,0,1
PA14_52490,-0.497,1.0,0.776,0.013,0,0.497,0.776,0,1
PA14_56800,0.556,1.0,0.669,0.014,0,0.556,0.669,0,1
coIII,0.414,1.0,0.536,0.014,0,0.414,0.536,0,1
PA14_10360,0.716,1.0,-0.669,0.016,0,0.716,0.669,0,1
PA14_11810,-0.552,1.0,-0.477,0.016,0,0.552,0.477,0,1
PA14_18040,0.442,1.0,-0.879,0.017,0,0.442,0.879,0,1
PA14_22180,-1.391,1.0,0.451,0.017,0,1.391,0.451,0,1
glgP,-0.439,1.0,0.662,0.018,0,0.439,0.662,0,1
azlC,-1.09,1.0,0.44,0.019,0,1.09,0.44,0,1
PA14_59070,-0.562,1.0,0.606,0.021,0,0.562,0.606,0,1
PA14_60530,-0.565,1.0,0.558,0.021,0,0.565,0.558,0,1
PA14_64940,0.474,1.0,0.469,0.022,0,0.474,0.469,0,1
coxG,0.462,1.0,-0.769,0.022,0,0.462,0.769,0,1
PA14_11940,0.486,1.0,-0.755,0.022,0,0.486,0.755,0,1
PA14_26390,0.927,1.0,-0.609,0.023,0,0.927,0.609,0,1
hpkR,-0.709,1.0,0.844,0.024,0,0.709,0.844,0,1
kguT,0.68,1.0,0.88,0.025,0,0.68,0.88,0,1
bdhA,0.592,1.0,1.181,0.025,0,0.592,1.181,0,1
yijF,0.598,1.0,0.408,0.025,0,0.598,0.408,0,1
PA14_59210,-0.51,1.0,0.717,0.026,0,0.51,0.717,0,1
PA14_01340,0.582,1.0,0.764,0.027,0,0.582,0.764,0,1
PA14_08230,-0.48,1.0,0.711,0.027,0,0.48,0.711,0,1
oprG,-0.459,1.0,-1.241,0.029,0,0.459,1.241,0,1
PA14_12920,-1.026,1.0,0.813,0.03,0,1.026,0.813,0,1
bfd,-0.405,1.0,-0.497,0.031,0,0.405,0.497,0,1
PA14_31170,0.476,1.0,-0.518,0.031,0,0.476,0.518,0,1
PA14_36980,-0.434,1.0,0.873,0.031,0,0.434,0.873,0,1
PA14_39060,1.166,1.0,-0.525,0.032,0,1.166,0.525,0,1
yneJ,0.497,1.0,-0.801,0.032,0,0.497,0.801,0,1
PA14_46620,-0.441,1.0,-0.654,0.035,0,0.441,0.654,0,1
norB,-0.704,1.0,-0.431,0.035,0,0.704,0.431,0,1
PA14_11530,0.546,1.0,-0.555,0.035,0,0.546,0.555,0,1
gapA,0.668,1.0,0.424,0.036,0,0.668,0.424,0,1
PA14_27610,-0.476,1.0,-0.636,0.039,0,0.476,0.636,0,1
PA14_28410,1.095,1.0,0.395,0.044,0,1.095,0.395,0,1
hemN,-0.444,1.0,0.811,0.042,0,0.444,0.811,0,1
PA14_45410,-0.812,1.0,-0.503,0.043,0,0.812,0.503,0,1
PA14_47120,-0.419,1.0,-0.83,0.046,0,0.419,0.83,0,1
ydaO,-0.423,1.0,0.604,0.045,0,0.423,0.604,0,1
thrB,0.455,1.0,-0.764,0.046,0,0.455,0.764,0,1
PA14_32840,-0.568,1.0,0.53,0.045,0,0.568,0.53,0,1
PA14_43040,0.6,1.0,0.443,0.046,0,0.6,0.443,0,1
PA14_54750,-0.709,1.0,-0.426,0.045,0,0.709,0.426,0,1
PA14_19920,0.594,1.0,-1.08,0.049,0,0.594,1.08,0,1
PA14_55940,0.857,1.0,-0.523,0.054,0,0.857,0.523,0,0
pra,-0.632,1.0,-0.482,0.057,0,0.632,0.482,0,0
PA14_07820,0.439,1.0,-0.822,0.058,0,0.439,0.822,0,0
PA14_26165,-0.444,1.0,-0.65,0.058,0,0.444,0.65,0,0
PA14_33830,-0.416,1.0,0.659,0.058,0,0.416,0.659,0,0
PA14_52910,0.746,1.0,0.656,0.062,0,0.746,0.656,0,0
PA14_59700,-0.915,1.0,-0.827,0.061,0,0.915,0.827,0,0
PA14_32490,-0.436,1.0,0.474,0.063,0,0.436,0.474,0,0
PA14_40230,0.481,1.0,0.452,0.063,0,0.481,0.452,0,0
PA14_54180,-0.563,1.0,-0.739,0.063,0,0.563,0.739,0,0
PA14_61180,0.943,1.0,-0.641,0.065,0,0.943,0.641,0,0
PA14_60090,-0.399,1.0,-0.579,0.067,0,0.399,0.579,0,0
PA14_10200,-0.622,1.0,-0.471,0.07,0,0.622,0.471,0,0
PA14_33590,-0.483,1.0,0.441,0.07,0,0.483,0.441,0,0
PA14_38500,0.546,1.0,0.43,0.07,0,0.546,0.43,0,0
PA14_60480,-0.557,1.0,0.425,0.072,0,0.557,0.425,0,0
PA14_61120,0.433,1.0,0.414,0.07,0,0.433,0.414,0,0
PA14_00810,-0.578,1.0,-0.468,0.073,0,0.578,0.468,0,0
tyrZ,-0.395,1.0,0.418,0.073,0,0.395,0.418,0,0
orfA,-0.36,1.0,1.117,0.073,0,0.36,1.117,0,0
PA14_30080,0.445,1.0,-0.835,0.075,0,0.445,0.835,0,0
PA14_33250,-0.441,1.0,0.376,0.075,0,0.441,0.376,0,0
PA14_36360,-0.538,1.0,1.521,0.075,0,0.538,1.521,0,0
PA14_36410,-0.609,1.0,-0.585,0.081,0,0.609,0.585,0,0
PA14_44510,-1.093,1.0,-0.593,0.081,0,1.093,0.593,0,0
PA14_71380,0.726,1.0,0.706,0.086,0,0.726,0.706,0,0
PA14_02220,0.468,1.0,0.888,0.086,0,0.468,0.888,0,0
PA14_54830,-0.468,1.0,0.7,0.086,0,0.468,0.7,0,0
nfeD,0.555,1.0,0.43,0.086,0,0.555,0.43,0,0
eprS,-0.434,1.0,-1.13,0.086,0,0.434,1.13,0,0
acdA,0.623,1.0,0.377,0.086,0,0.623,0.377,0,0
P33,1.132,1.0,0.428,0.089,0,1.132,0.428,0,0
PA14_46850,-1.101,1.0,-0.867,0.089,0,1.101,0.867,0,0
PA14_21210,-0.404,1.0,-0.696,0.089,0,0.404,0.696,0,0
PA14_36350,-0.437,1.0,-0.372,0.089,0,0.437,0.372,0,0
PA14_36780,-0.407,1.0,0.772,0.089,0,0.407,0.772,0,0
phzG2,0.713,1.0,0.617,0.091,0,0.713,0.617,0,0
napA,0.411,1.0,-1.021,0.091,0,0.411,1.021,0,0
dctP,0.574,1.0,0.478,0.091,0,0.574,0.478,0,0
codB,0.608,1.0,0.38,0.091,0,0.608,0.38,0,0
PA14_12470,0.507,1.0,-1.034,0.092,0,0.507,1.034,0,0
PA14_14550,-0.417,1.0,0.636,0.092,0,0.417,0.636,0,0
PA14_33510,-0.512,1.0,-0.495,0.093,0,0.512,0.495,0,0
intT,-0.379,1.0,0.369,0.095,0,0.379,0.369,0,0
PA14_52550,-0.382,1.0,0.508,0.093,0,0.382,0.508,0,0
PA14_72360,0.344,1.0,-0.703,0.097,0,0.344,0.703,0,0
lrp,-0.48,1.0,-0.531,0.095,0,0.48,0.531,0,0
PA14_39270,0.511,1.0,-0.623,0.1,0,0.511,0.623,0,0
PA14_40260,0.5,1.0,-0.362,0.1,0,0.5,0.362,0,0
ydiA,-0.497,1.0,0.493,0.11,0,0.497,0.493,0,0
PA14_43440,-0.454,1.0,-0.329,0.11,0,0.454,0.329,0,0
PA14_61000,-0.937,1.0,0.362,0.11,0,0.937,0.362,0,0
ubiB,0.433,1.0,-0.47,0.12,0,0.433,0.47,0,0
uhpA,0.451,1.0,-0.537,0.12,0,0.451,0.537,0,0
glpK,0.425,1.0,-0.429,0.12,0,0.425,0.429,0,0
gltK,0.774,1.0,-0.342,0.12,0,0.774,0.342,0,0
PA14_26600,-0.367,1.0,0.686,0.12,0,0.367,0.686,0,0
PA14_51480,-0.403,1.0,0.903,0.12,0,0.403,0.903,0,0
cysD,-0.412,1.0,-0.381,0.12,0,0.412,0.381,0,0
PA14_58040,-0.411,1.0,-0.335,0.12,0,0.411,0.335,0,0
fabG,0.467,1.0,0.38,0.13,0,0.467,0.38,0,0
pilG,-0.396,1.0,-0.444,0.13,0,0.396,0.444,0,0
PA14_12680,0.402,1.0,-0.554,0.13,0,0.402,0.554,0,0
PA14_52880,1.175,1.0,-0.504,0.13,0,1.175,0.504,0,0
PA14_71390,0.466,1.0,-0.776,0.13,0,0.466,0.776,0,0
purT,0.451,1.0,-0.512,0.13,0,0.451,0.512,0,0
PA14_33880,-0.382,1.0,0.779,0.13,0,0.382,0.779,0,0
PA14_43540,0.518,1.0,0.536,0.13,0,0.518,0.536,0,0
cysI,-0.395,1.0,-0.488,0.13,0,0.395,0.488,0,0
opdH,0.635,1.0,0.885,0.13,0,0.635,0.885,0,0
PA14_59820,-0.753,1.0,-0.811,0.13,0,0.753,0.811,0,0
pilY1,-0.345,1.0,-0.535,0.14,0,0.345,0.535,0,0
PA14_21000,0.563,1.0,0.786,0.14,0,0.563,0.786,0,0
PA14_22500,0.685,1.0,-0.403,0.14,0,0.685,0.403,0,0
pcrV,0.497,1.0,0.423,0.15,0,0.497,0.423,0,0
PA14_42970,0.695,1.0,-0.426,0.14,0,0.695,0.426,0,0
nfxB,-0.905,1.0,-0.506,0.15,0,0.905,0.506,0,0
ctaA,0.596,1.0,-0.456,0.15,0,0.596,0.456,0,0
PA14_06580,0.442,1.0,-0.539,0.16,0,0.442,0.539,0,0
pyrG,-0.435,1.0,0.394,0.16,0,0.435,0.394,0,0
PA14_40350,0.419,1.0,-0.392,0.16,0,0.419,0.392,0,0
pilA,0.384,1.0,-0.558,0.16,0,0.384,0.558,0,0
fpvB,-0.419,1.0,0.829,0.17,0,0.419,0.829,0,0
PA14_12560,-0.415,1.0,0.638,0.17,0,0.415,0.638,0,0
atpB,-0.372,1.0,0.381,0.17,0,0.372,0.381,0,0
argD,0.539,1.0,-0.427,0.17,0,0.539,0.427,0,0
PA14_15910,0.56,1.0,0.405,0.17,0,0.56,0.405,0,0
PA14_22240,-0.823,1.0,-0.743,0.17,0,0.823,0.743,0,0
PA14_51570,-0.412,1.0,-0.6,0.18,0,0.412,0.6,0,0
waaC,0.444,1.0,0.661,0.19,0,0.444,0.661,0,0
PA14_10020,0.454,1.0,0.52,0.19,0,0.454,0.52,0,0
PA14_13220,-0.453,1.0,-0.353,0.19,0,0.453,0.353,0,0
nagF,0.487,1.0,0.334,0.19,0,0.487,0.334,0,0
PA14_16370,0.516,1.0,0.653,0.19,0,0.516,0.653,0,0
PA14_27120,-0.563,1.0,-0.334,0.19,0,0.563,0.334,0,0
PA14_31240,-0.384,1.0,-0.662,0.19,0,0.384,0.662,0,0
PA14_47130,-0.361,1.0,0.31,0.19,0,0.361,0.31,0,0
PA14_56480,0.465,1.0,0.545,0.19,0,0.465,0.545,0,0
PA14_04510,0.456,1.0,-0.477,0.19,0,0.456,0.477,0,0
norR,-0.552,1.0,-0.485,0.19,0,0.552,0.485,0,0
exsD,0.453,1.0,0.739,0.19,0,0.453,0.739,0,0
pqsC,0.515,1.0,0.335,0.19,0,0.515,0.335,0,0
cupC2,-0.676,1.0,0.337,0.19,0,0.676,0.337,0,0
algU,-0.359,1.0,-0.553,0.19,0,0.359,0.553,0,0
PA14_56090,-0.43,1.0,0.366,0.19,0,0.43,0.366,0,0
CrcZ,-1.406,1.0,-0.463,0.2,0,1.406,0.463,0,0
recX,-0.41,1.0,0.556,0.19,0,0.41,0.556,0,0
PA14_29820,0.397,1.0,-0.96,0.2,0,0.397,0.96,0,0
cysI,-0.348,1.0,-0.616,0.2,0,0.348,0.616,0,0
pdhB,0.531,1.0,0.398,0.2,0,0.531,0.398,0,0
PA14_40010,-0.435,1.0,-0.313,0.2,0,0.435,0.313,0,0
PA14_41980,-0.397,1.0,-0.346,0.2,0,0.397,0.346,0,0
atpD,-0.355,1.0,-0.353,0.2,0,0.355,0.353,0,0
PA14_36870,-0.429,1.0,0.416,0.2,0,0.429,0.416,0,0
dctQ,0.485,1.0,0.559,0.2,0,0.485,0.559,0,0
PA14_60730,-0.416,1.0,-1.193,0.2,0,0.416,1.193,0,0
PA14_00490,-0.531,1.0,-0.335,0.2,0,0.531,0.335,0,0
PA14_00990,-0.328,1.0,0.316,0.2,0,0.328,0.316,0,0
PA14_47320,0.402,1.0,0.35,0.2,0,0.402,0.35,0,0
PA14_51080,0.76,1.0,0.417,0.2,0,0.76,0.417,0,0
PA14_59130,-0.633,1.0,-0.424,0.21,0,0.633,0.424,0,0
PA14_69250,-0.405,1.0,0.332,0.21,0,0.405,0.332,0,0
PA14_07970,-0.628,1.0,0.336,0.22,0,0.628,0.336,0,0
pslH,0.772,1.0,0.598,0.21,0,0.772,0.598,0,0
PA14_61290,-0.386,1.0,0.809,0.21,0,0.386,0.809,0,0
yfdZ,-0.423,1.0,-0.329,0.21,0,0.423,0.329,0,0
hslR,0.431,1.0,0.34,0.21,0,0.431,0.34,0,0
PA14_14430,0.379,1.0,0.427,0.21,0,0.379,0.427,0,0
PA14_38310,-0.857,1.0,0.342,0.22,0,0.857,0.342,0,0
PA14_38420,0.362,1.0,-0.608,0.22,0,0.362,0.608,0,0
crfX,-0.376,1.0,-0.307,0.23,0,0.376,0.307,0,0
fixI,0.433,1.0,0.583,0.22,0,0.433,0.583,0,0
PA14_02100,0.56,1.0,0.381,0.22,0,0.56,0.381,0,0
PA14_12180,-0.75,1.0,-0.446,0.22,0,0.75,0.446,0,0
PA14_21570,0.624,1.0,-0.322,0.22,0,0.624,0.322,0,0
PA14_33290,-0.374,1.0,0.549,0.22,0,0.374,0.549,0,0
PA14_36550,-0.425,1.0,-0.716,0.22,0,0.425,0.716,0,0
PA14_44160,0.401,1.0,-0.51,0.23,0,0.401,0.51,0,0
PA14_44260,0.641,1.0,0.697,0.22,0,0.641,0.697,0,0
exoT,0.562,1.0,-0.355,0.22,0,0.562,0.355,0,0
ctaB,0.424,1.0,-0.639,0.22,0,0.424,0.639,0,0
PA14_22190,-1.38,1.0,0.678,0.22,0,1.38,0.678,0,0
PA14_36200,-0.51,1.0,-1.779,0.23,0,0.51,1.779,0,0
PA14_67440,0.421,1.0,0.44,0.23,0,0.421,0.44,0,0
PA14_19710,0.556,1.0,0.723,0.23,0,0.556,0.723,0,0
PA14_20470,0.361,1.0,-0.49,0.23,0,0.361,0.49,0,0
glcG,0.838,1.0,0.37,0.23,0,0.838,0.37,0,0
tRNA,0.61,1.0,-0.536,0.24,0,0.61,0.536,0,0
tufB,-0.444,1.0,0.668,0.23,0,0.444,0.668,0,0
repA,-0.358,1.0,-0.311,0.24,0,0.358,0.311,0,0
PA14_21860,0.501,1.0,0.473,0.24,0,0.501,0.473,0,0
PA14_37660,-0.554,1.0,0.49,0.23,0,0.554,0.49,0,0
PA14_00310,0.495,1.0,-0.405,0.24,0,0.495,0.405,0,0
PA14_08470,-0.555,1.0,-0.318,0.23,0,0.555,0.318,0,0
PA14_20480,0.365,1.0,0.605,0.25,0,0.365,0.605,0,0
ispB,-0.604,1.0,0.416,0.24,0,0.604,0.416,0,0
spuC,0.35,1.0,-1.004,0.25,0,0.35,1.004,0,0
PA14_20900,0.609,1.0,-0.784,0.24,0,0.609,0.784,0,0
PA14_21840,-0.338,1.0,-0.74,0.24,0,0.338,0.74,0,0
pa1L,0.692,1.0,-0.416,0.25,0,0.692,0.416,0,0
PA14_36730,-0.373,1.0,-0.559,0.24,0,0.373,0.559,0,0
PA14_37820,-0.567,1.0,0.499,0.24,0,0.567,0.499,0,0
sdhC,-0.338,1.0,0.549,0.25,0,0.338,0.549,0,0
PA14_63340,0.393,1.0,0.285,0.24,0,0.393,0.285,0,0
PA14_64850,0.753,1.0,-0.306,0.25,0,0.753,0.306,0,0
P10,-0.921,1.0,0.456,0.26,0,0.921,0.456,0,0
PA14_01810,0.426,1.0,-0.581,0.25,0,0.426,0.581,0,0
cheA,0.461,1.0,1.444,0.26,0,0.461,1.444,0,0
PA14_12440,0.41,1.0,-0.306,0.26,0,0.41,0.306,0,0
ycfJ,-0.575,1.0,0.525,0.25,0,0.575,0.525,0,0
PA14_46480,-0.663,1.0,0.363,0.25,0,0.663,0.363,0,0
PA14_48970,-0.8,1.0,-0.292,0.27,0,0.8,0.292,0,0
PA14_49680,-0.564,1.0,-0.729,0.27,0,0.564,0.729,0,0
PA14_09380,-0.393,1.0,0.334,0.28,0,0.393,0.334,0,0
PA14_26610,-0.359,1.0,-0.341,0.27,0,0.359,0.341,0,0
PA14_32710,-0.568,1.0,-0.331,0.28,0,0.568,0.331,0,0
PA14_39420,0.494,1.0,-0.509,0.28,0,0.494,0.509,0,0
pcrH,0.869,1.0,0.317,0.28,0,0.869,0.317,0,0
PA14_63940,0.409,1.0,-0.45,0.28,0,0.409,0.45,0,0
PA14_64930,0.488,1.0,-0.657,0.28,0,0.488,0.657,0,0
PA14_67540,0.604,1.0,0.655,0.28,0,0.604,0.655,0,0
atpG,-0.345,1.0,-0.324,0.29,0,0.345,0.324,0,0
tRNA,-0.748,1.0,-0.311,0.28,0,0.748,0.311,0,0
PA14_15650,-1.221,1.0,-0.413,0.28,0,1.221,0.413,0,0
PA14_21810,-0.373,1.0,-0.872,0.29,0,0.373,0.872,0,0
gltR,0.569,1.0,-0.352,0.3,0,0.569,0.352,0,0
PA14_71760,0.502,1.0,-0.355,0.3,0,0.502,0.355,0,0
PA14_02730,0.565,1.0,1.178,0.29,0,0.565,1.178,0,0
PA14_18800,0.387,1.0,0.474,0.3,0,0.387,0.474,0,0
PA14_30090,0.366,1.0,-0.46,0.3,0,0.366,0.46,0,0
ccoN,-0.337,1.0,0.276,0.29,0,0.337,0.276,0,0
PA14_48660,0.463,1.0,0.316,0.31,0,0.463,0.316,0,0
PA14_72640,-0.361,1.0,-0.374,0.31,0,0.361,0.374,0,0
glpF,0.362,1.0,0.565,0.3,0,0.362,0.565,0,0
phnC,-0.45,1.0,-0.494,0.31,0,0.45,0.494,0,0
PA14_32830,-0.368,1.0,0.329,0.31,0,0.368,0.329,0,0
PA14_48830,-0.461,1.0,0.33,0.31,0,0.461,0.33,0,0
PA14_57690,-0.551,1.0,-0.355,0.32,0,0.551,0.355,0,0
tpiA,-0.339,1.0,-0.453,0.31,0,0.339,0.453,0,0
minE,-0.332,1.0,-0.557,0.33,0,0.332,0.557,0,0
PA14_32810,-0.38,1.0,-0.339,0.34,0,0.38,0.339,0,0
pvdG,-0.378,1.0,0.399,0.35,0,0.378,0.399,0,0
PA14_56180,-0.381,1.0,0.284,0.34,0,0.381,0.284,0,0
PA14_67780,-0.869,1.0,-0.383,0.34,0,0.869,0.383,0,0
PA14_20510,-0.321,1.0,0.331,0.34,0,0.321,0.331,0,0
PA14_55780,0.438,1.0,-0.691,0.36,0,0.438,0.691,0,0
PA14_00800,0.446,1.0,-0.34,0.36,0,0.446,0.34,0,0
PA14_03480,0.479,1.0,-0.458,0.36,0,0.479,0.458,0,0
PA14_21670,-0.47,1.0,-0.377,0.36,0,0.47,0.377,0,0
PA14_36990,0.913,1.0,-0.286,0.36,0,0.913,0.286,0,0
