gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_45510,0.062,1.0,-0.017,1.0,0,0.062,0.017,0,0
PA14_46980,0.056,1.0,-0.073,1.0,0,0.056,0.073,0,0
PA14_49420,0.003,1.0,0.109,1.0,0,0.003,0.109,0,0
flgH,-0.015,1.0,0.016,1.0,0,0.015,0.016,0,0
yycJ,-0.013,1.0,0.061,1.0,0,0.013,0.061,0,0
PA14_51980,-0.017,1.0,-0.036,1.0,0,0.017,0.036,0,0
yjcS,0.053,1.0,-0.02,1.0,0,0.053,0.02,0,0
PA14_56670,0.032,1.0,0.041,1.0,0,0.032,0.041,0,0
PA14_57040,-0.015,1.0,-0.012,1.0,0,0.015,0.012,0,0
PA14_57510,0.001,1.0,0.007,1.0,0,0.001,0.007,0,0
PA14_58720,0.034,1.0,-0.023,1.0,0,0.034,0.023,0,0
pilM2,-0.032,1.0,-0.018,1.0,0,0.032,0.018,0,0
fimU,0.022,1.0,0.019,1.0,0,0.022,0.019,0,0
rtcA,0.038,1.0,0.004,1.0,0,0.038,0.004,0,0
PA14_61680,0.059,1.0,-0.004,1.0,0,0.059,0.004,0,0
fadH2,-0.038,1.0,-0.004,1.0,0,0.038,0.004,0,0
PA14_64620,0.085,1.0,0.02,1.0,0,0.085,0.02,0,0
vanK,0.069,1.0,0.035,1.0,0,0.069,0.035,0,0
PA14_66890,-0.026,1.0,0.02,1.0,0,0.026,0.02,0,0
fdhD,0.127,1.0,0.005,1.0,0,0.127,0.005,0,0
PA14_68640,0.001,1.0,0.036,1.0,0,0.001,0.036,0,0
PA14_68890,-0.009,1.0,0.012,1.0,0,0.009,0.012,0,0
PA14_69890,0.034,1.0,-0.01,1.0,0,0.034,0.01,0,0
PA14_69980,-0.008,1.0,0.007,1.0,0,0.008,0.007,0,0
PA14_70510,0.201,1.0,-0.039,1.0,0,0.201,0.039,0,0
PA14_71410,-0.032,1.0,0.033,1.0,0,0.032,0.033,0,0
soxD,0.228,1.0,0.012,1.0,0,0.228,0.012,0,0
tRNA,-0.144,1.0,-0.008,1.0,0,0.144,0.008,0,0
glyS,0.028,1.0,0.152,1.0,0,0.028,0.152,0,0
PA14_00600,-0.06,1.0,-0.019,1.0,0,0.06,0.019,0,0
PA14_02450,0.002,1.0,0.146,1.0,0,0.002,0.146,0,0
PA14_04870,0.036,1.0,0.033,1.0,0,0.036,0.033,0,0
gshB,0.001,1.0,0.095,1.0,0,0.001,0.095,0,0
trpC,-0.011,1.0,-0.054,1.0,0,0.011,0.054,0,0
rpsK,0.039,1.0,-0.02,1.0,0,0.039,0.02,0,0
hpcD,-0.053,1.0,0.004,1.0,0,0.053,0.004,0,0
hpaA,0.044,1.0,-0.019,1.0,0,0.044,0.019,0,0
thiD,0.028,1.0,-0.048,1.0,0,0.028,0.048,0,0
PA14_12750,-0.034,1.0,0.136,1.0,0,0.034,0.136,0,0
PA14_14250,-0.017,1.0,-0.024,1.0,0,0.017,0.024,0,0
suhB,0.022,1.0,0.008,1.0,0,0.022,0.008,0,0
PA14_14910,0.025,1.0,0.144,1.0,0,0.025,0.144,0,0
wspD,-0.002,1.0,0.021,1.0,0,0.002,0.021,0,0
PA14_16550,0.014,1.0,0.087,1.0,0,0.014,0.087,0,0
PA14_17600,0.008,1.0,0.166,1.0,0,0.008,0.166,0,0
metR,0.007,1.0,0.012,1.0,0,0.007,0.012,0,0
argF,-0.006,1.0,0.028,1.0,0,0.006,0.028,0,0
PA14_20620,-0.028,1.0,0.018,1.0,0,0.028,0.018,0,0
PA14_21130,0.077,1.0,-0.018,1.0,0,0.077,0.018,0,0
PA14_21710,0.011,1.0,0.017,1.0,0,0.011,0.017,0,0
PA14_25140,0.027,1.0,-0.024,1.0,0,0.027,0.024,0,0
nqrA,0.02,1.0,0.023,1.0,0,0.02,0.023,0,0
hisP,-0.066,1.0,-0.013,1.0,0,0.066,0.013,0,0
eco,-0.023,1.0,-0.003,1.0,0,0.023,0.003,0,0
rpmI,0.01,1.0,-0.017,1.0,0,0.01,0.017,0,0
PA14_29000,0.02,1.0,-0.044,1.0,0,0.02,0.044,0,0
oprD3,0.047,1.0,0.108,1.0,0,0.047,0.108,0,0
PA14_32310,0.018,1.0,0.033,1.0,0,0.018,0.033,0,0
treA,-0.013,1.0,0.011,1.0,0,0.013,0.011,0,0
PA14_34140,-0.045,1.0,0.013,1.0,0,0.045,0.013,0,0
PA14_37520,0.34,1.0,-0.005,1.0,0,0.34,0.005,0,0
PA14_37550,-0.194,1.0,0.031,1.0,0,0.194,0.031,0,0
gnyL,-0.03,1.0,-0.09,1.0,0,0.03,0.09,0,0
PA14_40100,0.024,1.0,-0.006,1.0,0,0.024,0.006,0,0
nhaB,0.008,1.0,0.022,1.0,0,0.008,0.022,0,0
PA14_44200,0.29,1.0,0.021,1.0,0,0.29,0.021,0,0
ccoP,0.048,1.0,0.002,1.0,0,0.048,0.002,0,0
anr,0.02,1.0,0.019,1.0,0,0.02,0.019,0,0
PA14_45440,-0.019,1.0,0.03,1.0,0,0.019,0.03,0,0
PA14_47550,-0.031,1.0,-0.002,1.0,0,0.031,0.002,0,0
fleS,0.032,1.0,-0.017,1.0,0,0.032,0.017,0,0
fliD,0.003,1.0,-0.018,1.0,0,0.003,0.018,0,0
PA14_50890,0.009,1.0,-0.028,1.0,0,0.009,0.028,0,0
PA14_51120,0.088,1.0,0.178,1.0,0,0.088,0.178,0,0
PA14_52940,-0.002,1.0,-0.001,1.0,0,0.002,0.001,0,0
hpd,-0.004,1.0,-0.003,1.0,0,0.004,0.003,0,0
PA14_54680,0.042,1.0,-0.065,1.0,0,0.042,0.065,0,0
PA14_57200,0.024,1.0,0.014,1.0,0,0.024,0.014,0,0
PA14_58740,-0.012,1.0,0.001,1.0,0,0.012,0.001,0,0
pilT2,0.007,1.0,0.021,1.0,0,0.007,0.021,0,0
PA14_63370,-0.009,1.0,0.018,1.0,0,0.009,0.018,0,0
PA14_64690,0.014,1.0,0.024,1.0,0,0.014,0.024,0,0
braE,-0.013,1.0,-0.014,1.0,0,0.013,0.014,0,0
pilO,0.013,1.0,-0.012,1.0,0,0.013,0.012,0,0
PA14_67550,0.072,1.0,0.179,1.0,0,0.072,0.179,0,0
PA14_67790,0.0,1.0,-0.029,1.0,0,0.0,0.029,0,0
